id;name;description;price;shipping;enabled;quantity;source_url;category_ids
511;temp prod name with ID: 511;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-leo-line-bialy-529;201,203,209,214,215,216,217,286
512;temp prod name with ID: 512;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-vega-bialy-524;201,203,209,214,215,216,217,286,288
513;temp prod name with ID: 513;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-leo-biala-521;201,203,209,214,215,216,217,286
514;temp prod name with ID: 514;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-atena-bialy-518;201,203,209,214,215,216,218,286,288
515;temp prod name with ID: 515;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-sigma-bialy-512;201,203,209,214,215,218,286,288
516;temp prod name with ID: 516;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-sigma-mini-bialy-511;201,203,209,214,215,217,286,288
517;temp prod name with ID: 517;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-eyetech-1-bialy-450;201,203,211,213,214,215,216,217,286
518;temp prod name with ID: 518;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-eyetech-1-czarny-449;201,204,211,213,214,215,216,217,286
519;temp prod name with ID: 519;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-oculare-1-bialy-420;201,203,211,213,214,215,216,217,286
520;temp prod name with ID: 520;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-merida-1-czarny-403;201,204,211,213,214,215,216,217,286
521;temp prod name with ID: 521;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ring-chrom-396;201,205,211,213,214,215,216,217,286
522;temp prod name with ID: 522;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ring-szary-386;201,206,211,213,214,215,216,217,286
523;temp prod name with ID: 523;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-rico-342;201,203,212,214,215,216,218,286,288
524;temp prod name with ID: 524;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-vici-bialy-341;201,203,212,214,215,216,218,286,288
525;temp prod name with ID: 525;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-loreto-czarny-338;201,214,215,216,218,286
526;temp prod name with ID: 526;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-inez-czarny-333;201,204,207,214,215,216,218,286
527;temp prod name with ID: 527;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-lobo-bialy-319;201,203,207,214,215,216,218,286,288
528;temp prod name with ID: 528;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-lobo-szary-318;201,206,207,214,215,216,218,286
529;temp prod name with ID: 529;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-lobo-czarny-317;201,204,207,214,215,216,218,286,288
530;temp prod name with ID: 530;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-quad-maxi-czarny-304;201,204,207,214,215,216,218,286,288
531;temp prod name with ID: 531;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-quad-1-bialy-301;201,203,207,214,215,216,217,286,288
532;temp prod name with ID: 532;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-quad-1-szary-300;201,206,207,214,215,216,217,286
533;temp prod name with ID: 533;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-quad-1-czarny-299;201,204,207,214,215,216,217,286,288
534;temp prod name with ID: 534;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-orbis-bialy-281;201,203,207,214,215,216,217,286,288
535;temp prod name with ID: 535;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-orbis-szary-280;201,206,207,214,215,216,217,286
536;temp prod name with ID: 536;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-orbis-czarny-279;201,204,207,214,215,216,217,286,288
537;temp prod name with ID: 537;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-lagos-2-czarny-236;201,204,211,213,214,215,216,218,286,288
538;temp prod name with ID: 538;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-lagos-2-bialy-235;201,203,211,213,214,215,216,218,286
539;temp prod name with ID: 539;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-penne-30-czarny-226;201,207,213,214,215,216,218,286
540;temp prod name with ID: 540;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-penne-20-czarny-225;201,207,213,214,215,216,218,286
541;temp prod name with ID: 541;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-penne-30-bialy-224;201,207,213,214,215,216,218,286
542;temp prod name with ID: 542;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-berg-naturalne-drewno-95;201,210,213,214,215,216,217,286
543;temp prod name with ID: 543;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-feniks-1-wenge-79;201,215,216,218,286,288
544;temp prod name with ID: 544;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-feniks-1-naturalne-drewno-78;201,215,216,218,286,288
545;temp prod name with ID: 545;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-feniks-1-bialy-77;201,203,215,216,218,286,288
546;temp prod name with ID: 546;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-quad-naturalne-drewno-65;201,210,215,216,217,286,288
547;temp prod name with ID: 547;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-orbis-naturalne-drewno-64;201,210,215,216,217,286,288
548;temp prod name with ID: 548;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-orbis-beton-34;201,206,208,215,216,217,286,288
549;temp prod name with ID: 549;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-quad-beton-33;201,206,208,215,216,217,286,288
550;temp prod name with ID: 550;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ring-czarny-14;201,204,211,213,214,215,216,217,286,288
551;temp prod name with ID: 551;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ring-bialy-11;201,203,211,213,214,215,216,217,286,288
552;temp prod name with ID: 552;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-massimo-bialy-815;201,203,214,215,219,286
553;temp prod name with ID: 553;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-azalia-805;201,221,233,234,235,236,239,286
554;temp prod name with ID: 554;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-salia-804;201,221,233,234,235,236,239,286
555;temp prod name with ID: 555;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-keke-dab-803;201,210,213,214,215,216,218,286
556;temp prod name with ID: 556;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-zeke-dab-796;201,210,213,214,215,216,218,221,286
557;temp prod name with ID: 557;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-piazza-4-chrom-789;201,221,233,234,235,236,239,286
558;temp prod name with ID: 558;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-piazza-4-czarny-788;201,221,233,234,235,236,240,286
559;temp prod name with ID: 559;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-piazza-3-chrom-787;201,221,233,234,235,236,239,286
560;temp prod name with ID: 560;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-piazza-3-czarny-786;201,221,233,234,235,236,239,286
561;temp prod name with ID: 561;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-piazza-2-chrom-785;201,221,233,234,235,236,238,286
562;temp prod name with ID: 562;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-piazza-2-czarny-784;201,221,233,234,235,236,238,286
563;temp prod name with ID: 563;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-piazza-1-chrom-783;201,221,233,234,235,236,237,286
564;temp prod name with ID: 564;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-piazza-1-czarny-782;201,221,233,234,235,236,237,286
565;temp prod name with ID: 565;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-solar-40-chrom-781;201,221,239,286
566;temp prod name with ID: 566;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-solar-30-chrom-780;201,221,238,286
567;temp prod name with ID: 567;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-solar-20-chrom-779;201,221,238,286
568;temp prod name with ID: 568;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-atena-30-bialy-778;201,203,209,214,215,216,217,286
569;temp prod name with ID: 569;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-atena-20-bialy-777;201,203,209,214,215,216,217,286
570;temp prod name with ID: 570;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-futuro-bialy-776;201,203,209,214,215,216,217,286
571;temp prod name with ID: 571;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-onda-bialy-775;201,203,209,214,215,216,217,286
572;temp prod name with ID: 572;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-comma-bialy-774;201,203,209,214,215,216,217,286
573;temp prod name with ID: 573;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-draco-bialy-773;201,203,209,214,215,216,217,286
574;temp prod name with ID: 574;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-libra-bialy-772;201,203,209,214,215,216,217,286
575;temp prod name with ID: 575;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-apollo-bialy-771;201,203,209,214,215,216,217,286
576;temp prod name with ID: 576;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/lampa-wiszaca-latte-1-769;201,260,272,273,276,277,279,286
577;temp prod name with ID: 577;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-latte-767;201,214,215,216,217,286
578;temp prod name with ID: 578;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-latte-4-766;201,221,234,235,236,239,286
579;temp prod name with ID: 579;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-latte-3-765;201,221,234,235,236,238,286
580;temp prod name with ID: 580;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-latte-2-764;201,221,234,235,236,238,286
581;temp prod name with ID: 581;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/plafon-latte-1-763;201,221,234,235,236,237,286
582;temp prod name with ID: 582;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-vector-czarny-762;201,204,211,214,215,216,217,286
583;temp prod name with ID: 583;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/zyrandol-supel-5-bialy-761;201,243,244,246,249,250,251,253,286
584;temp prod name with ID: 584;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/zyrandol-supel-5-czarny-760;201,243,245,246,249,250,251,253,286,288
585;temp prod name with ID: 585;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/zyrandol-supel-3-bialy-759;201,243,244,246,249,250,251,252,286,288
586;temp prod name with ID: 586;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/zyrandol-supel-3-czarny-758;201,243,245,246,249,250,251,252,286,288
587;temp prod name with ID: 587;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-supel-bialy-757;201,203,211,214,215,216,217,286
588;temp prod name with ID: 588;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-supel-czarny-756;201,204,211,214,215,216,217,286
589;temp prod name with ID: 589;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-lakierowany-globe-bialy-polysk-753;201,209,214,215,218,286
590;temp prod name with ID: 590;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-lakierowany-pontius-bialy-polysk-738;201,209,214,215,218,286
591;temp prod name with ID: 591;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-lakierowany-vixen-bialy-polysk-737;201,209,214,215,216,218,286
592;temp prod name with ID: 592;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-woody-naturalne-drewno-708;201,210,213,214,215,216,218,286
593;temp prod name with ID: 593;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-stark-czarny-692;201,204,211,215,216,218,286
594;temp prod name with ID: 594;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-minerwa-czarny-671;201,204,211,215,216,217,286
595;temp prod name with ID: 595;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-minerwa-bialy-670;201,203,211,215,216,217,286
596;temp prod name with ID: 596;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-azalia-646;201,205,213,214,215,216,218,286
597;temp prod name with ID: 597;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-salia-645;201,205,213,214,215,216,218,286
598;temp prod name with ID: 598;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-celia-bialy-643;201,203,213,214,215,216,219,221,286
599;temp prod name with ID: 599;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-tila-40-bialy-640;201,203,211,213,214,215,216,218,286
600;temp prod name with ID: 600;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-tila-40-czarny-639;201,204,211,213,214,215,216,218,286
601;temp prod name with ID: 601;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-tila-30-czarny-638;201,204,211,213,214,215,216,218,286
